ProjectID;ProjectName;PlanName;BucketName;TaskGroupID;TaskTitle;TaskDescription;AssignedToEmail;StartDate;DueDate;Priority;PercentComplete;IsParentTask;ChecklistItems;Labels;Status
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;INICIO;TG-01;Configurar entorno digital del proyecto;Activar todos los elementos del entorno antes de la Reunión de Inicio. Prerequisito obligatorio para avanzar.;dmorales@grupoebi.cl;00000000;00000000;urgent;0;True;"Crear canal oficial en Teams;Publicar mensaje inicial con objetivo, equipo y reglas operativas;Definir periodos de seguimiento;Crear plan del proyecto en Planner;Crear buckets estándar del ciclo de vida;Agregar miembros y validar permisos de acceso";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;INICIO;TG-01;Publicar mensaje de apertura en Teams;Comunicar formalmente el inicio del entorno. Fijar reglas de operación del canal desde el primer día.;dmorales@grupoebi.cl;00000000;00000000;medium;0;False;"Redactar mensaje con objetivo del proyecto, equipo asignado, reglas del canal y cadencia de seguimiento;Publicar en el canal oficial;Fijar mensaje como anuncio en Teams";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;INICIO;TG-01;Adjuntar Ficha de Proyecto aprobada;Dejar trazabilidad del origen del proyecto. Sin ficha aprobada no debería existir este plan.;dmorales@grupoebi.cl;00000000;00000000;medium;0;False;"Adjuntar Ficha de Nueva Iniciativa firmada o Ficha de Regularización según corresponda;Confirmar que sponsor y líder están declarados;Publicar enlace o archivo en el canal Teams";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;PLANIFICACIÓN;TG-02;Reunión de Inicio — Pre-Kickoff;PM convoca al Líder y Sponsor. Objetivo: confirmar alcance preliminar, equipo y definir la planificación detallada. Sin esta reunión no se avanza a planificación.;dmorales@grupoebi.cl;00000000;00000000;urgent;0;True;"Enviar convocatoria con agenda mínima de 30 min;Confirmar alcance preliminar del proyecto;Confirmar participantes del equipo de ejecución;Confirmar forma de trabajo y canal oficial;Definir fecha de sesión de planificación detallada;Documentar acuerdos como post en Teams";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;PLANIFICACIÓN;TG-02;Documentar acuerdos de Reunión de Inicio en Teams;Todo acuerdo que no queda registrado no existe. Publicar resumen ejecutivo en el canal oficial del proyecto.;dmorales@grupoebi.cl;00000000;00000000;medium;0;False;"Redactar resumen con alcance confirmado, equipo, reglas y próximos pasos;Publicar en canal oficial del proyecto en Teams;Confirmar lectura con al menos una reacción del Líder o Sponsor";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;PLANIFICACIÓN;TG-02;Sesión de Planificación Detallada — PM + Líder;Descomponer el proyecto en tareas ejecutables. Resultado: plan cargado en Planner antes de la aprobación del Sponsor.;dmorales@grupoebi.cl;00000000;00000000;urgent;0;True;"Descomponer entregables en tareas ejecutables;Definir dependencias entre tareas;Asignar responsable a cada tarea;Definir fecha inicio y fecha límite por tarea;Identificar riesgos y registrarlos;Cargar plan completo en Planner con responsables y fechas";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;PLANIFICACIÓN;TG-02;[GATEWAY 2] Aprobación del Plan — Sponsor;PUNTO DE CONTROL. Sin aprobación explícita del Sponsor el Kick Off no ocurre. Documentar decisión en Teams.;dmorales@grupoebi.cl;00000000;00000000;urgent;0;True;"Enviar resumen del plan al Sponsor con alcance, fechas, recursos y riesgos;Realizar reunión de revisión Sponsor + PM + Líder;Sponsor revisa alcance definido;Sponsor revisa fechas y recursos asignados;Sponsor revisa riesgos identificados;Registrar decisión en Teams: Aprobado o Ajustar volver a planificación";"GATEWAY;TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;EJECUCIÓN;TG-03;Kick Off — Inicio formal del proyecto;PM convoca a todos los participantes. Marca el inicio oficial de la ejecución. Sin Kick Off no hay punto de partida documentado.;dmorales@grupoebi.cl;00000000;00000000;urgent;0;True;"Preparar presentación mínima con objetivo, alcance, plan aprobado, roles, reglas operativas y cadencia;Convocar a todos los participantes;Presentar plan aprobado;Confirmar roles y fechas con el equipo;Declarar formalmente el inicio de ejecución;Publicar resumen del Kick Off en Teams";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;EJECUCIÓN;TG-03;Seguimiento semanal — Ciclo recurrente;Reunión de 15 a 30 min. PM revisa tablero, remueve bloqueos y ajusta fechas si aplica. Repetir cada semana de ejecución.;dmorales@grupoebi.cl;00000000;00000000;medium;0;True;"Revisar estado del tablero en Planner antes de la reunión;Identificar tareas vencidas o en riesgo;Remover bloqueos o escalar si es necesario;Ajustar fechas en Planner si aplica;Registrar acuerdos y compromisos en Teams post reunión;Confirmar compromisos para la próxima semana";"TI;PM";Planned
TEST-LOAD-01;Test de Carga;Test de Carga — Plan 01;EJECUCIÓN;TG-03;Registrar acuerdos de seguimiento en Teams;Cada reunión semanal debe dejar un registro escrito. Sin registro los compromisos orales no son rastreables.;dmorales@grupoebi.cl;00000000;00000000;low;0;False;"Publicar resumen con avances de la semana, bloqueos resueltos, compromisos pendientes y próximos pasos;Etiquetar a responsables de compromisos;Fijar mensaje si hay acuerdo crítico";"TI;PM";Planned
